METADATA|Position|SourceSystemOwner|SourceSystemId|EffectiveStartDate|PositionCode|BusinessUnitName|Name|ActiveStatus|DepartmentId|JobId|LocationId|FullPartTime|RegularTemporary|HiringStatus|PositionType|FTE|HeadCount|WorkingHours|Frequency
MERGE|Position|ALTAHRN01|131475|1951/01/01|131475|UOB Business Unit|Equality and Diversity Specialist|A|300000001922212|300000009529225|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131476|1951/01/01|131476|UOB Business Unit|Equality and Diversity Specialist|A|300000001922212|300000009529225|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131485|1951/01/01|131485|UOB Business Unit|School Operations Manager|A|300000001445335|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131486|1951/01/01|131486|UOB Business Unit|School Operations Manager|A|300000009529891|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131487|1951/01/01|131487|UOB Business Unit|School Operations Manager|A|300000009529910|300000009529234|300000004663603|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131488|1951/01/01|131488|UOB Business Unit|School Operations Manager|A|300000009529929|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131489|1951/01/01|131489|UOB Business Unit|School Operations Manager|A|300000009535064|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131490|1951/01/01|131490|UOB Business Unit|School Operations Manager|A|300000001720051|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131491|1951/01/01|131491|UOB Business Unit|School Operations Manager|A|300000002283238|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131492|1951/01/01|131492|UOB Business Unit|Adminstration Manager|A|300000001445335|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131493|1951/01/01|131493|UOB Business Unit|Adminstration Manager|A|300000009529891|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131494|1951/01/01|131494|UOB Business Unit|Adminstration Manager|A|300000009529910|300000009529234|300000004663603|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131495|1951/01/01|131495|UOB Business Unit|Adminstration Manager|A|300000009529929|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131496|1951/01/01|131496|UOB Business Unit|Adminstration Manager|A|300000009535064|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131497|1951/01/01|131497|UOB Business Unit|Adminstration Manager|A|300000001720051|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131498|1951/01/01|131498|UOB Business Unit|Adminstration Manager|A|300000002283238|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131499|1951/01/01|131499|UOB Business Unit|Adminstration Manager|A|300000001445335|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131500|1951/01/01|131500|UOB Business Unit|Adminstration Manager|A|300000009529891|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131501|1951/01/01|131501|UOB Business Unit|Adminstration Manager|A|300000009529910|300000009529234|300000004663603|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131502|1951/01/01|131502|UOB Business Unit|Adminstration Manager|A|300000009529929|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131503|1951/01/01|131503|UOB Business Unit|Adminstration Manager|A|300000009535064|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131504|1951/01/01|131504|UOB Business Unit|Adminstration Manager|A|300000001720051|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131505|1951/01/01|131505|UOB Business Unit|Adminstration Manager|A|300000002283238|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131506|1951/01/01|131506|UOB Business Unit|Adminstration Manager|A|300000009535064|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131507|1951/01/01|131507|UOB Business Unit|Adminstration Manager|A|300000001720051|300000009529234|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131556|1951/01/01|131556|UOB Business Unit|Library Services Manager|A|300000001485553|300000009529246|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131557|1951/01/01|131557|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131558|1951/01/01|131558|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131559|1951/01/01|131559|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131560|1951/01/01|131560|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131561|1951/01/01|131561|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131562|1951/01/01|131562|UOB Business Unit|Librarian|A|300000001485553|300000009529249|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
