METADATA|Worker|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonNumber|StartDate|DateOfBirth|ActionCode
MERGE|Worker|ALTAHRN01|6079903|2014/10/01|4712/12/31|6079903|2014/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6079914|2011/01/10|4712/12/31|6079914|2011/01/10|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6079916|2002/03/25|4712/12/31|6079916|2002/03/25|1968/12/31|HIRE
MERGE|Worker|ALTAHRN01|6080465|2013/12/09|4712/12/31|6080465|2013/12/09|1979/05/10|HIRE
MERGE|Worker|ALTAHRN01|6080469|2014/10/01|4712/12/31|6080469|2014/10/01|1965/01/03|HIRE
MERGE|Worker|ALTAHRN01|6080476|2003/09/01|4712/12/31|6080476|2003/09/01|1954/12/23|HIRE
MERGE|Worker|ALTAHRN01|6081017|2002/01/21|4712/12/31|6081017|2002/01/21|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6081555|2003/07/01|4712/12/31|6081555|2003/07/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6081613|2004/12/01|4712/12/31|6081613|2004/12/01|1981/03/05|HIRE
MERGE|Worker|ALTAHRN01|6081726|2011/08/01|4712/12/31|6081726|2011/08/01|1983/12/31|HIRE
MERGE|Worker|ALTAHRN01|6082105|2008/08/04|4712/12/31|6082105|2008/08/04|1978/10/20|HIRE
MERGE|Worker|ALTAHRN01|6082264|2014/05/19|4712/12/31|6082264|2014/05/19|1960/10/28|HIRE
MERGE|Worker|ALTAHRN01|6082485|2011/03/01|4712/12/31|6082485|2011/03/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6082533|2014/10/01|4712/12/31|6082533|2014/10/01|1958/11/22|HIRE
MERGE|Worker|ALTAHRN01|6082645|2014/10/01|4712/12/31|6082645|2014/10/01|1958/02/15|HIRE
MERGE|Worker|ALTAHRN01|6083013|2008/09/29|4712/12/31|6083013|2008/09/29|1969/02/15|HIRE
MERGE|Worker|ALTAHRN01|6083029|2002/10/04|4712/12/31|6083029|2002/10/04|1965/10/28|HIRE
MERGE|Worker|ALTAHRN01|6083359|1999/12/31|4712/12/31|6083359|1999/12/31|1958/09/05|HIRE
MERGE|Worker|ALTAHRN01|6083461|1999/12/31|4712/12/31|6083461|1999/12/31|1966/04/14|HIRE
MERGE|Worker|ALTAHRN01|6083981|2014/10/01|4712/12/31|6083981|2014/10/01|1954/05/19|HIRE
MERGE|Worker|ALTAHRN01|6084158|2000/09/01|4712/12/31|6084158|2000/09/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6085901|2000/04/17|4712/12/31|6085901|2000/04/17|1960/09/07|HIRE
MERGE|Worker|ALTAHRN01|6086552|2003/06/30|4712/12/31|6086552|2003/06/30|1969/09/12|HIRE
MERGE|Worker|ALTAHRN01|6086758|2014/10/01|4712/12/31|6086758|2014/10/01|1983/07/04|HIRE
MERGE|Worker|ALTAHRN01|6086949|2014/10/01|4712/12/31|6086949|2014/10/01|1984/08/07|HIRE
MERGE|Worker|ALTAHRN01|6087169|2001/07/02|4712/12/31|6087169|2001/07/02|1972/07/20|HIRE
MERGE|Worker|ALTAHRN01|6087609|1999/01/01|4712/12/31|6087609|1999/01/01|1965/10/25|HIRE
MERGE|Worker|ALTAHRN01|6087702|2014/10/01|4712/12/31|6087702|2014/10/01|1971/09/13|HIRE
MERGE|Worker|ALTAHRN01|6087705|2014/10/01|4712/12/31|6087705|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6087785|2014/10/01|4712/12/31|6087785|2014/10/01|1960/11/14|HIRE
MERGE|Worker|ALTAHRN01|6088534|2014/10/01|4712/12/31|6088534|2014/10/01|1959/05/25|HIRE
MERGE|Worker|ALTAHRN01|6089556|2015/10/12|4712/12/31|6089556|2015/10/12|1955/09/09|HIRE
MERGE|Worker|ALTAHRN01|6089961|1998/04/01|4712/12/31|6089961|1998/04/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6090051|2016/09/26|4712/12/31|6090051|2016/09/26|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6090182|2009/08/01|4712/12/31|6090182|2009/08/01|1969/10/26|HIRE
