METADATA|Assignment|SourceSystemOwner|SourceSystemId|ActionCode|EffectiveStartDate|EffectiveEndDate|EffectiveSequence|EffectiveLatestChange|WorkTermsAssignmentId(SourceSystemId)|AssignmentName|AssignmentNumber|AssignmentStatusTypeCode|PersonTypeCode|PositionId(SourceSystemId)|BusinessUnitShortCode|LocationCode|JobCode|PrimaryAssignmentFlag
MERGE|Assignment|ALTAHRN01|5508995_EMP_ASG|HIRE|1978/11/13|4712/12/31|1|Y|5508995_EMP_TERM|5508995|5508995|ACTIVE_PROCESS|Employee|131398|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509049_EMP_ASG|HIRE|1998/01/01|4712/12/31|1|Y|5509049_EMP_TERM|5509049|5509049|ACTIVE_PROCESS|Employee|131399|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509052_EMP_ASG|HIRE|1989/03/01|4712/12/31|1|Y|5509052_EMP_TERM|5509052|5509052|ACTIVE_PROCESS|Employee|131400|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509060_EMP_ASG|HIRE|2007/01/01|4712/12/31|1|Y|5509060_EMP_TERM|5509060|5509060|ACTIVE_PROCESS|Employee|131401|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509111_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5509111_EMP_TERM|5509111|5509111|ACTIVE_PROCESS|Employee|131402|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509128_EMP_ASG|HIRE|1996/02/26|4712/12/31|1|Y|5509128_EMP_TERM|5509128|5509128|ACTIVE_PROCESS|Employee|131403|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509158_EMP_ASG|HIRE|1975/07/01|4712/12/31|1|Y|5509158_EMP_TERM|5509158|5509158|ACTIVE_PROCESS|Employee|131404|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509162_EMP_ASG|HIRE|1998/07/13|4712/12/31|1|Y|5509162_EMP_TERM|5509162|5509162|ACTIVE_PROCESS|Employee|131405|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509167_EMP_ASG|HIRE|2004/09/16|4712/12/31|1|Y|5509167_EMP_TERM|5509167|5509167|ACTIVE_PROCESS|Employee|131406|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509189_EMP_ASG|HIRE|1975/06/30|4712/12/31|1|Y|5509189_EMP_TERM|5509189|5509189|ACTIVE_PROCESS|Employee|131407|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509198_EMP_ASG|HIRE|1998/03/02|4712/12/31|1|Y|5509198_EMP_TERM|5509198|5509198|ACTIVE_PROCESS|Employee|131408|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509219_EMP_ASG|HIRE|1995/07/01|4712/12/31|1|Y|5509219_EMP_TERM|5509219|5509219|ACTIVE_PROCESS|Employee|131409|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509224_EMP_ASG|HIRE|1969/05/12|4712/12/31|1|Y|5509224_EMP_TERM|5509224|5509224|ACTIVE_PROCESS|Employee|131410|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509238_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5509238_EMP_TERM|5509238|5509238|ACTIVE_PROCESS|Employee|131411|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509244_EMP_ASG|HIRE|2014/10/01|4712/12/31|1|Y|5509244_EMP_TERM|5509244|5509244|ACTIVE_PROCESS|Employee|131412|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509284_EMP_ASG|HIRE|1979/12/03|4712/12/31|1|Y|5509284_EMP_TERM|5509284|5509284|ACTIVE_PROCESS|Employee|131414|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509298_EMP_ASG|HIRE|1997/02/01|4712/12/31|1|Y|5509298_EMP_TERM|5509298|5509298|ACTIVE_PROCESS|Employee|131415|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509302_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5509302_EMP_TERM|5509302|5509302|ACTIVE_PROCESS|Employee|131416|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509310_EMP_ASG|HIRE|2015/05/05|4712/12/31|1|Y|5509310_EMP_TERM|5509310|5509310|ACTIVE_PROCESS|Employee|131417|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509322_EMP_ASG|HIRE|1982/12/01|4712/12/31|1|Y|5509322_EMP_TERM|5509322|5509322|ACTIVE_PROCESS|Employee|131418|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509405_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5509405_EMP_TERM|5509405|5509405|ACTIVE_PROCESS|Employee|131419|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509406_EMP_ASG|HIRE|1984/09/01|4712/12/31|1|Y|5509406_EMP_TERM|5509406|5509406|ACTIVE_PROCESS|Employee|131433|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509452_EMP_ASG|HIRE|1989/04/10|4712/12/31|1|Y|5509452_EMP_TERM|5509452|5509452|ACTIVE_PROCESS|Employee|131434|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509456_EMP_ASG|HIRE|1978/10/01|4712/12/31|1|Y|5509456_EMP_TERM|5509456|5509456|ACTIVE_PROCESS|Employee|131435|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509497_EMP_ASG|HIRE|2011/09/01|4712/12/31|1|Y|5509497_EMP_TERM|5509497|5509497|ACTIVE_PROCESS|Employee|131436|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509586_EMP_ASG|HIRE|1978/09/04|4712/12/31|1|Y|5509586_EMP_TERM|5509586|5509586|ACTIVE_PROCESS|Employee|131437|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509596_EMP_ASG|HIRE|1989/04/10|4712/12/31|1|Y|5509596_EMP_TERM|5509596|5509596|ACTIVE_PROCESS|Employee|131438|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509601_EMP_ASG|HIRE|1987/10/01|4712/12/31|1|Y|5509601_EMP_TERM|5509601|5509601|ACTIVE_PROCESS|Employee|131439|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509713_EMP_ASG|HIRE|1973/10/01|4712/12/31|1|Y|5509713_EMP_TERM|5509713|5509713|ACTIVE_PROCESS|Employee|131440|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509740_EMP_ASG|HIRE|2005/04/01|4712/12/31|1|Y|5509740_EMP_TERM|5509740|5509740|ACTIVE_PROCESS|Employee|131441|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509741_EMP_ASG|HIRE|1977/10/01|4712/12/31|1|Y|5509741_EMP_TERM|5509741|5509741|ACTIVE_PROCESS|Employee|131442|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
